institution_name,basic,grad_rate,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow,id
Arkansas Tech University,Masters Colleges and Universities--larger programs,0.21,10482,27356,0.674,8398,1008,6455,2252,0.2,0.456,0.694,0.616,61605712,459.648,699.5519999999999,6506640,14536660,21
University of Arkansas at Monticello,Masters Colleges and Universities--smaller programs,0.21,3706,39837,0.668,3031,1012,6197,824,0.1,0.647,0.424,0.727,32825688,654.764,429.08799999999997,6271364,5106328,22
University of Central Arkansas,Masters Colleges and Universities--larger programs,0.238,9754,50994,0.849,8908,1070,7764,2317,0.2,0.394,0.698,0.737,118153098,421.58000000000004,746.8599999999999,8307480,17989188,23
Henderson State University,Masters Colleges and Universities--medium programs,0.149,3199,48972,0.9,3197,1011,7599,4174,0.13,0.53,0.572,0.678,204409128,535.83,578.2919999999999,7682589,31718226,24
Southern Arkansas University,Masters Colleges and Universities--medium programs,0.188,2960,45186,0.844,2681,989,8377,1061,0.13,0.515,0.643,0.656,47942346,509.33500000000004,635.927,8284853,8887997,25
University of Arkansas at Fort Smith,Baccalaureate/Associates Colleges,0.171,7170,49785,0.714,6103,1028,6161,11489,0.09,0.505,0.622,0.543,571979865,519.14,639.416,6333508,70783729,26
California Polytechnic State University at San Luis Obispo,Masters Colleges and Universities--larger programs,0.207,18739,80134,0.964,16661,1242,7499,10629,0.29,0.198,0.925,0.685,851744286,245.91600000000003,1148.8500000000001,9313758,79706871,27
California State University at Bakersfield,Masters Colleges and Universities--larger programs,0.217,7350,52362,0.887,6915,901,11089,2668,0.15,0.584,0.744,0.651,139701816,526.184,670.344,9991189,29585452,28
California State University-Stanislaus,Masters Colleges and Universities--larger programs,0.246,7754,54098,0.844,6243,917,9087,1455,0.18,0.577,0.872,0.563,78712590,529.1089999999999,799.624,8332779,13221585,29
California State University at San Bernardino,Masters Colleges and Universities--larger programs,0.22,16191,50514,0.883,14586,888,9354,1353,0.09,0.58,0.888,0.505,68345442,515.04,788.544,8306352,12655962,30
California State Polytechnic University at Pomona,Masters Colleges and Universities--larger programs,0.239,20952,50007,0.879,17439,1070,8932,3819,0.1,0.44,0.9,0.488,190976733,470.8,963,9557240,34111308,31
California State University at Chico,Masters Colleges and Universities--larger programs,0.252,15290,47231,0.929,14249,1014,9124,2401,0.16,0.389,0.866,0.528,113401631,394.446,878.124,9251736,21906724,32
California State University-Dominguez Hills,Masters Colleges and Universities--larger programs,0.26,12481,38497,0.687,8683,845,8895,1234,0.03,0.586,0.793,0.388,47505298,495.16999999999996,670.085,7516275,10976430,33
California State University at Fresno,Masters Colleges and Universities--larger programs,0.211,20295,50402,0.866,17363,920,9343,7161,0.13,0.541,0.832,0.518,360928722,497.72,765.4399999999999,8595560,66905223,34
California State University at Fullerton,Masters Colleges and Universities--larger programs,0.269,33116,40380,0.806,26806,1021,8616,1476,0.13,0.406,0.885,0.462,59600880,414.526,903.585,8796936,12717216,35
California State University-East Bay,Masters Colleges and Universities--larger programs,0.258,12146,47531,0.868,11053,910,9038,825,0.1,0.443,0.775,0.416,39213075,403.13,705.25,8224580,7456350,36
California State University at Long Beach,Masters Colleges and Universities--larger programs,0.261,30593,41585,0.844,25679,1012,8779,1788,0.14,0.473,0.888,0.503,74353980,478.676,898.6560000000001,8884348,15696852,37
California State University at Los Angeles,Masters Colleges and Universities--larger programs,0.229,19589,44071,0.831,15805,871,9061,989,0.06,0.645,0.821,0.5,43586219,561.795,715.091,7892131,8961329,38
California State University at Northridge,Masters Colleges and Universities--larger programs,0.272,33771,42587,0.835,25175,918,9439,2387,0.13,0.485,0.782,0.46,101655169,445.22999999999996,717.876,8665002,22530893,39
California State University at Sacramento,Masters Colleges and Universities--larger programs,0.253,26094,43410,0.808,20490,945,8939,1303,0.08,0.505,0.825,0.489,56563230,477.225,779.625,8447355,11647517,40
University of California at Davis,Research Universities--very high research activity,0.266,26533,129507,0.973,25844,1192,15201,7855,0.51,0.43,0.929,0.815,1017277485,512.56,1107.3680000000002,18119592,119403855,41
University of California at Irvine,Research Universities--very high research activity,0.265,23530,107625,0.983,23595,1122,16066,8945,0.67,0.432,0.918,0.774,962705625,484.704,1029.996,18026052,143710370,42
University of California at Los Angeles,Research Universities--very high research activity,0.268,28674,208579,0.979,28634,1289,16288,34375,0.69,0.362,0.963,0.772,7169903125,466.618,1241.307,20995232,559900000,43
University of California at Riverside,Research Universities--very high research activity,0.219,18621,75265,0.978,18145,1078,16330,5387,0.41,0.564,0.89,0.814,405452555,607.992,959.42,17603740,87969710,44
University of California at San Diego,Research Universities--very high research activity,0.263,23805,155660,0.973,23961,1276,15989,15714,0.56,0.427,0.942,0.817,2446041240,544.852,1201.992,20401964,251251146,45
University of California at Santa Barbara,Research Universities--very high research activity,0.267,19362,70536,0.985,19593,1212,15852,5527,0.67,0.38,0.919,0.8,389852472,460.56,1113.828,19212624,87614004,46
University of California at Santa Cruz,Research Universities--very high research activity,0.249,15695,66676,0.976,16216,1087,17299,3473,0.5,0.446,0.888,0.689,231565748,484.802,965.256,18804013,60079427,47
California Maritime Academy,Baccalaureate Colleges--Diverse Fields,0.147,1045,183782,0.965,1209,1080,9009,4413,0.42,0.376,0.821,0.663,811029966,406.08,886.68,9729720,39756717,48
Humboldt State University,Masters Colleges and Universities--medium programs,0.197,7767,77258,0.934,7081,1008,8748,3387,0.1,0.516,0.776,0.541,261672846,520.128,782.208,8817984,29629476,49
San Diego State University,Research Universities--high research activity,0.256,27099,47319,0.887,24201,1090,9645,5770,0.32,0.396,0.878,0.541,273030630,431.64000000000004,957.02,10513050,55651650,50
San Francisco State University,Masters Colleges and Universities--larger programs,0.27,26156,41281,0.845,22077,998,8842,1675,0.12,0.424,0.821,0.497,69145675,423.152,819.358,8824316,14810350,51
San Jose State University,Masters Colleges and Universities--larger programs,0.25,25862,44897,0.806,20414,1030,8622,4276,0.07,0.395,0.878,0.402,191979572,406.85,904.34,8880660,36867672,52
Sonoma State University,Masters Colleges and Universities--larger programs,0.237,8391,57842,0.915,7449,1006,8710,4095,0.25,0.297,0.84,0.486,236862990,298.782,845.04,8762260,35667450,53
Adams State College,Masters Colleges and Universities--medium programs,0.204,2284,57047,0.82,2115,939,11356,233,0.11,0.503,0.559,0.5,13291951,472.317,524.9010000000001,10663284,2645948,54
University of Colorado at Denver,Research Universities--high research activity,0.206,13010,115000,0.598,9926,1073,6095,3808,0.16,0.278,0.752,0.835,437920000,298.29400000000004,806.896,6539935,23209760,55
University of Colorado at Colorado Springs,Masters Colleges and Universities--larger programs,0.193,9220,54914,0.755,7506,1068,5176,3808,0.26,0.322,0.714,0.529,209112512,343.896,762.552,5527968,19710208,56
Colorado Mountain College,Associates--Public Rural-serving Large,0.16,5893,52626,0.338,3463,1012,3357,2325,0,0.234,1,0.178,122355450,236.80800000000002,1012,3397284,7805025,57
Colorado School of Mines,Research Universities--high research activity,0.174,4291,91333,0.951,4410,1298,8507,41918,0.41,0.175,0.919,0.684,3828496694,227.14999999999998,1192.862,11042086,356596426,58
Colorado State University,Research Universities--very high research activity,0.214,23548,60828,0.866,21413,1127,7616,10399,0.37,0.257,0.859,0.683,632550372,289.639,968.093,8583232,79198784,59
Fort Lewis College,Baccalaureate Colleges--Arts & Sciences,0.182,3984,71505,0.921,3631,1049,11048,1710,0.17,0.318,0.65,0.722,122273550,333.582,681.85,11589352,18892080,60
Mesa State College,Baccalaureate Colleges--Arts & Sciences,0.141,9576,56882,0.759,7618,972,2685,2499,0.13,0.402,0.653,0.45,142148118,390.744,634.716,2609820,6709815,61
Metropolitan State College of Denver,Baccalaureate Colleges--Diverse Fields,0.17,22289,44603,0.592,16926,973,4290,73,0.05,0.385,0.658,0.378,3256019,374.605,640.234,4174170,313170,62
University of Northern Colorado,Doctoral/Research Universities,0.201,9947,53825,0.878,9548,1029,6176,6428,0.26,0.351,0.663,0.66,345987100,361.179,682.2270000000001,6355104,39699328,63
Colorado State University at Pueblo,Masters Colleges and Universities--smaller programs,0.167,5207,56716,0.719,4454,967,5895,2072,0.18,0.413,0.626,0.468,117515552,399.371,605.342,5700465,12214440,64
Western State College of Colorado,Baccalaureate Colleges--Arts & Sciences,0.199,2193,67866,0.852,1865,1005,5929,3808,0.22,0.314,0.684,0.725,258433728,315.57,687.4200000000001,5958645,22577632,65
Central Connecticut State University,Masters Colleges and Universities--larger programs,0.209,9771,64105,0.78,8543,1006,4970,4351,0.2,0.334,0.768,0.474,278920855,336.004,772.6080000000001,4999820,21624470,66
Eastern Connecticut State University,Masters Colleges and Universities--smaller programs,0.231,5179,71838,0.849,4862,1017,5238,2472,0.32,0.264,0.781,0.413,177583536,268.488,794.277,5327046,12948336,67
Southern Connecticut State University,Masters Colleges and Universities--larger programs,0.222,8257,62097,0.85,7281,921,5950,1343,0.17,0.346,0.752,0.396,83396271,318.666,692.592,5479950,7990850,68
Western Connecticut State University,Masters Colleges and Universities--medium programs,0.184,5492,81823,0.8,5044,1012,10788,3808,0.21,0.284,0.743,0.347,311581984,287.40799999999996,751.9159999999999,10917456,41080704,69
Delaware State University,Masters Colleges and Universities--medium programs,0.141,3892,129813,0.92,3797,890,7655,4724,0.18,0.503,0.652,0.654,613236612,447.67,580.28,6812950,36162220,70
University of the District of Columbia,Masters Colleges and Universities--smaller programs,0.165,4712,151215,0.421,3454,1012,4636,9456,0.05,0.492,0.583,0.451,1429889040,497.904,589.996,4691632,43838016,71
Brevard Community College,Associates--Public Rural-serving Large,0.251,16711,21975,0.355,12053,1012,3732,1337,0,0.366,1,0.288,29380575,370.392,1012,3776784,4989684,72
Broward College,Associates--Public Urban-serving Multicampus,0.207,43883,23811,0.304,30322,1012,3732,1208,0,0.501,1,0.245,28763688,507.012,1012,3776784,4508256,73
College of Central Florida,Associates--Public Rural-serving Large,0.216,8162,27092,0.373,6103,1012,6649,7699,0,0.543,1,0.479,208581308,549.5160000000001,1012,6728788,51190651,74
University of Central Florida,Research Universities--very high research activity,0.264,51333,31929,0.706,45565,1175,4450,2587,0.35,0.377,0.871,0.662,82600323,442.975,1023.425,5228750,11512150,75
Chipola College,Associates--Public 4-year Primarily Associates,0.284,2160,28134,0.436,1609,1012,4754,8895,0,0.423,1,0.35,250251930,428.07599999999996,1012,4811048,42286830,76
Daytona State College,Associates--Public 4-year Primarily Associates,0.277,14865,23363,0.414,11389,1012,3625,504,0,0.491,1,0.371,11774952,496.892,1012,3668500,1827000,77
Edison State College,Associates--Public 4-year Primarily Associates,0.226,15423,26400,0.327,10649,1012,4330,1684,0,0.399,1,0.251,44457600,403.788,1012,4381960,7291720,78
Florida A&M University,Doctoral/Research Universities,0.141,8930,80971,0.9,9654,947,7165,6827,0.11,0.644,0.815,0.802,552789017,609.868,771.805,6785255,48915455,79
Florida Atlantic University,Research Universities--high research activity,0.254,25790,40672,0.616,20736,1039,5243,7678,0.15,0.4,0.765,0.636,312279616,415.6,794.835,5447477,40255754,80
Florida State College at Jacksonville,Associates--Public 4-year Primarily Associates,0.266,28134,21724,0.328,21810,1012,3507,1728,0,0.387,1,0.326,37539072,391.644,1012,3549084,6060096,81
Florida International University,Research Universities--high research activity,0.222,39142,45065,0.663,34130,1154,4904,5533,0.2,0.581,0.835,0.64,249344645,670.4739999999999,963.5899999999999,5659216,27133832,82
Florida State University,Research Universities--very high research activity,0.278,32528,45742,0.889,31611,1212,4537,13906,0.56,0.306,0.917,0.718,636088252,370.872,1111.404,5498844,63091522,83
Gulf Coast Community College,Associates--Public Rural-serving Large,0.211,6271,37408,0.355,4474,1012,3585,5953,0,0.428,1,0.34,222689824,433.13599999999997,1012,3628020,21341505,84
Indian River State College,Associates--Public 4-year Primarily Associates,0.258,17248,22361,0.344,12211,1012,3869,1721,0,0.399,1,0.253,38483281,403.788,1012,3915428,6658549,85
Florida Gateway College,Associates--Public Rural-serving Medium,0.238,3057,30369,0.311,2179,1012,2383,1548,0,0.39,1,0.375,47011212,394.68,1012,2411596,3688884,86
Lake-Sumter Community College,Associates--Public Suburban-serving Multicampus,0.222,4288,31596,0.291,2983,1012,4670,1390,0,0.312,1,0.328,43918440,315.74399999999997,1012,4726040,6491300,87
"State College of Florida, Manatee-Sarasota",Associates--Public Urban-serving Multicampus,0.202,10533,30474,0.416,8012,1012,4066,1487,0,0.463,1,0.257,45314838,468.55600000000004,1012,4114792,6046142,88
Miami Dade College,Associates--Public 4-year Primarily Associates,0.21,66298,23317,0.401,53787,1012,3956,3411,0,0.516,1,0.273,79534287,522.192,1012,4003472,13493916,89
University of North Florida,Masters Colleges and Universities--larger programs,0.272,14263,33419,0.707,12712,1143,4824,6018,0.21,0.348,0.817,0.616,201115542,397.76399999999995,933.8309999999999,5513832,29030832,90
Northwest Florida State College,Associates--Public 4-year Primarily Associates,0.277,6708,19649,0.399,5197,1012,4712,6868,0,0.315,1,0.364,134949332,318.78000000000003,1012,4768544,32362016,91
Palm Beach State College,Associates--Public Suburban-serving Multicampus,0.231,29763,20204,0.318,19938,1012,2757,879,0,0.469,1,0.238,17759316,474.628,1012,2790084,2423403,92
Pensacola State College,Associates--Public Rural-serving Large,0.23,11235,26206,0.398,8740,1012,3748,990,0,0.376,1,0.287,25943940,380.512,1012,3792976,3710520,93
Polk State College,Associates--Public Rural-serving Large,0.202,11085,34331,0.347,7935,1012,4669,1393,0,0.415,1,0.246,47823083,419.97999999999996,1012,4725028,6503917,94
St. Petersburg College,Baccalaureate/Associates Colleges,0.224,31820,27960,0.287,21467,1012,3376,1241,0,0.427,1,0.192,34698360,432.12399999999997,1012,3416512,4189616,95
Santa Fe College,Associates--Public Rural-serving Large,0.243,15113,25944,0.401,11819,1012,2232,1916,0,0.383,1,0.319,49708704,387.596,1012,2258784,4276512,96
Seminole State College of Florida,Associates--Public Suburban-serving Single Campus,0.193,18427,14911,0.374,15021,1012,4007,725,0,0.477,1,0.253,10810475,482.724,1012,4055084,2905075,97
St. Johns River Community College,Associates--Public Rural-serving Large,0.181,6127,28925,0.374,4698,1012,3891,361,0,0.387,1,0.334,10441925,391.644,1012,3937692,1404651,98
South Florida Community College,Associates--Public Rural-serving Medium,0.255,2699,40390,0.359,1902,1012,3986,2640,0,0.455,1,0.448,106629600,460.46000000000004,1012,4033832,10523040,99
University of South Florida,Research Universities--very high research activity,0.263,31100,47794,0.763,28730,1168,6084,9188,0.35,0.413,0.888,0.752,439131272,482.38399999999996,1037.184,7106112,55899792,100
Valencia Community College,Associates--Public Urban-serving Multicampus,0.243,42180,15845,0.392,30467,1012,4541,1893,0,0.446,1,0.306,29994585,451.35200000000003,1012,4595492,8596113,101
University of West Florida,Doctoral/Research Universities,0.249,10158,42621,0.746,8810,1062,5501,4664,0.2,0.41,0.7,0.529,198784344,435.41999999999996,743.4,5842062,25656664,102
Abraham Baldwin Agricultural College,Associates--Public 4-year Primarily Associates,0.198,3394,51855,0.692,2564,897,4200,4111,0,0.461,0.604,0.569,213175905,413.517,541.788,3767400,17266200,103
Albany State University,Masters Colleges and Universities--medium programs,0.147,3660,73692,0.825,3331,887,5368,485,0.16,0.723,0.697,0.641,35740620,641.3009999999999,618.2389999999999,4761416,2603480,104
Armstrong Atlantic State University,Masters Colleges and Universities--larger programs,0.177,6377,47207,0.735,5831,997,5045,1417,0.1,0.434,0.674,0.625,66892319,432.698,671.9780000000001,5029865,7148765,105
Atlanta Metropolitan College,Associates--Public Urban-serving Single Campus,0.123,3016,57393,0.542,2437,1012,4197,3808,0,0.711,0.8,0.463,218552544,719.5319999999999,809.6,4247364,15982176,106
College of Coastal Georgia,Associates--Public Rural-serving Medium,0.145,2987,68874,0.615,2447,940,4212,2548,0,0.513,0.574,0.523,175490952,482.22,539.56,3959280,10732176,107
Clayton State University,Baccalaureate Colleges--Diverse Fields,0.204,6893,49540,0.571,5585,939,4633,686,0.08,0.578,0.727,0.73,33984440,542.742,682.653,4350387,3178238,108
Columbus State University,Masters Colleges and Universities--larger programs,0.169,7013,56347,0.71,6037,984,5037,6514,0.12,0.456,0.665,0.588,367044358,448.704,654.36,4956408,32811018,109
Dalton State College,Baccalaureate/Associates Colleges,0.161,5015,41916,0.607,3846,1012,4398,2488,0.07,0.612,0.712,0.703,104287008,619.3439999999999,720.544,4450776,10942224,110
East Georgia College,Associates--Public Rural-serving Small,0.062,2857,88306,0.768,2345,1012,6758,82,0,0.985,1,0.627,7241092,996.8199999999999,1012,6839096,554156,111
Fort Valley State University,Baccalaureate Colleges--Diverse Fields,0.113,2858,78466,0.899,2981,1012,5214,1782,0.07,0.765,0.586,0.818,139826412,774.1800000000001,593.0319999999999,5276568,9291348,112
Georgia Institute of Technology,Research Universities--very high research activity,0.207,14558,85980,0.913,15126,1352,8510,77288,0.4,0.193,0.955,0.857,6645222240,260.936,1291.1599999999999,11505520,657720880,113
Georgia Southwestern State University,Masters Colleges and Universities--smaller programs,0.205,2667,40893,0.701,2459,950,4979,4532,0.15,0.477,0.65,0.701,185327076,453.15,617.5,4730050,22564828,114
Georgia College & State University,Masters Colleges and Universities--larger programs,0.208,5729,52917,0.919,5540,1126,6178,5101,0.38,0.218,0.846,0.765,269929617,245.468,952.596,6956428,31513978,115
Georgia Southern University,Doctoral/Research Universities,0.165,17904,52327,0.88,17010,1094,5192,2244,0.25,0.375,0.805,0.871,117421788,410.25,880.6700000000001,5680048,11650848,116
Georgia State University,Research Universities--very high research activity,0.201,24868,49608,0.74,21951,1060,5995,5272,0.21,0.509,0.823,0.736,261533376,539.54,872.38,6354700,31605640,117
Gordon College (Ga.),Associates--Public 4-year Primarily Associates,0.15,4187,36914,0.659,3336,840,4069,703,0,0.539,1,0.532,25950542,452.76000000000005,840,3417960,2860507,118
Kennesaw State University,Masters Colleges and Universities--larger programs,0.174,22621,54265,0.746,19728,1068,4457,1180,0.15,0.418,0.756,0.517,64032700,446.424,807.408,4760076,5259260,119
Savannah State University,Baccalaureate Colleges--Arts & Sciences,0.098,4602,102724,0.89,4045,847,5676,1037,0.08,0.74,0.702,0.782,106524788,626.78,594.5939999999999,4807572,5886012,120
Southern Polytechnic State University,Masters Colleges and Universities--medium programs,0.165,5732,59353,0.723,4742,1123,5061,1213,0.1,0.414,0.724,0.702,71995189,464.92199999999997,813.052,5683503,6138993,121
Valdosta State University,Masters Colleges and Universities--larger programs,0.174,9718,43779,0.852,9382,1033,5174,2747,0.15,0.459,0.689,0.791,120260913,474.147,711.737,5344742,14212978,122
University of West Georgia,Masters Colleges and Universities--larger programs,0.168,9959,51697,0.84,9112,950,4996,2122,0.17,0.476,0.715,0.803,109701034,452.2,679.25,4746200,10601512,123
University of Hawaii at Hilo,Baccalaureate Colleges--Arts & Sciences,0.215,3457,105035,0.8,3036,967,6906,63,0.08,0.453,0.698,0.718,6617205,438.051,674.966,6678102,435078,124
University of Hawaii Maui College,Associates--Public 4-year Primarily Associates,0.213,4076,64939,0.358,2492,1012,3895,119,0,0.465,1,0.369,7727741,470.58000000000004,1012,3941740,463505,125
University of Hawaii-West Oahu,Baccalaureate Colleges--Diverse Fields,0.288,2361,74771,0.442,1303,891,4491,125,0.06,0.351,0.677,0.478,9346375,312.741,603.207,4001481,561375,126
Boise State University,Masters Colleges and Universities--larger programs,0.187,19026,48958,0.654,14986,1050,4125,4948,0.1,0.372,0.713,0.555,242244184,390.6,748.65,4331250,20410500,127
Idaho State University,Research Universities--high research activity,0.183,11418,59914,0.614,8853,1012,5041,3835,0.11,0.475,0.685,0.717,229770190,480.7,693.22,5101492,19332235,128
Lewis-Clark State College,Baccalaureate Colleges--Diverse Fields,0.212,4304,52115,0.568,3199,936,4807,1610,0.08,0.417,0.598,0.631,83905150,390.31199999999995,559.728,4499352,7739270,129
Chicago State University,Masters Colleges and Universities--larger programs,0.194,4340,114762,0.657,3602,892,6934,746,0.04,0.687,0.536,0.712,85612452,612.8040000000001,478.112,6185128,5172764,130
Eastern Illinois University,Masters Colleges and Universities--larger programs,0.253,8347,67549,0.878,8235,1010,7165,4361,0.33,0.392,0.771,0.803,294581189,395.92,778.71,7236650,31246565,131
University of Illinois at Chicago,Research Universities--very high research activity,0.231,16671,140990,0.924,15972,1092,12029,7841,0.29,0.491,0.798,0.62,1105502590,536.172,871.416,13135668,94319389,132
Illinois State University,Doctoral/Research Universities,0.253,17749,64878,0.94,17086,1110,3918,4015,0.46,0.256,0.816,0.712,260485170,284.16,905.76,4348980,15730770,133
Northern Illinois University,Research Universities--high research activity,0.256,15814,66633,0.874,14566,1010,7741,3355,0.26,0.43,0.665,0.791,223553715,434.3,671.6500000000001,7818410,25971055,134
Northeastern Illinois University,Masters Colleges and Universities--larger programs,0.238,8950,68211,0.566,6849,890,5805,788,0.04,0.482,0.61,0.617,53750268,428.97999999999996,542.9,5166450,4574340,135
University of Illinois at Springfield,Masters Colleges and Universities--larger programs,0.281,3039,54990,0.648,2436,1085,6905,3068,0.28,0.368,0.743,0.595,168709320,399.28,806.155,7491925,21184540,136
Southern Illinois University at Carbondale,Research Universities--high research activity,0.322,13306,105932,0.887,11780,1032,8797,6447,0.23,0.433,0.604,0.873,682943604,446.856,623.328,9078504,56714259,137
Southern Illinois University at Edwardsville,Masters Colleges and Universities--larger programs,0.211,11229,80032,0.851,10364,1050,6099,1512,0.27,0.356,0.693,0.693,121008384,373.79999999999995,727.65,6403950,9221688,138
Western Illinois University,Masters Colleges and Universities--larger programs,0.244,9873,68664,0.892,9526,970,7051,2988,0.29,0.428,0.634,0.903,205168032,415.15999999999997,614.98,6839470,21068388,139
Ball State University,Research Universities--high research activity,0.2,16300,65091,0.928,16423,1053,8528,8466,0.35,0.346,0.784,0.82,551060406,364.33799999999997,825.552,8979984,72198048,140
Indiana University-Purdue University at Fort Wayne,Masters Colleges and Universities--larger programs,0.167,12928,56989,0.574,9684,996,5472,4586,0.05,0.367,0.672,0.431,261351554,365.532,669.312,5450112,25094592,141
Indiana University-Purdue University at Indianapolis,Research Universities--high research activity,0.228,22409,102349,0.748,18906,1013,7669,26169,0.15,0.366,0.719,0.705,2678370981,370.758,728.347,7768697,200690061,142
University of Southern Indiana,Masters Colleges and Universities--larger programs,0.181,8913,43190,0.827,8925,1004,9369,3890,0.14,0.323,0.688,0.502,168009100,324.29200000000003,690.752,9406476,36445410,143
Indiana State University,Doctoral/Research Universities,0.164,10268,66473,0.889,9490,910,7417,3542,0.22,0.434,0.635,0.691,235447366,394.94,577.85,6749470,26271014,144
Indiana University at Kokomo,Baccalaureate Colleges--Diverse Fields,0.198,3981,49994,0.505,2378,950,4837,2357,0.07,0.319,0.609,0.48,117835858,303.05,578.55,4595150,11400809,145
Indiana University at South Bend,Masters Colleges and Universities--medium programs,0.157,7512,56068,0.53,5191,962,5750,1979,0.05,0.337,0.635,0.56,110958572,324.194,610.87,5531500,11379250,146
Indiana University-Northwest,Masters Colleges and Universities--medium programs,0.157,5904,53831,0.546,4034,918,6082,1924,0.07,0.347,0.679,0.447,103570844,318.546,623.322,5583276,11701768,147
Indiana University-Southeast,Masters Colleges and Universities--larger programs,0.189,6148,41458,0.596,4669,950,5520,2762,0.09,0.344,0.608,0.406,114506996,326.79999999999995,577.6,5244000,15246240,148
Indiana University East,Baccalaureate Colleges--Diverse Fields,0.18,4326,39193,0.45,2754,943,5307,1832,0.09,0.361,0.675,0.357,71801576,340.423,636.5250000000001,5004501,9722424,149
Purdue University-Calumet,Masters Colleges and Universities--larger programs,0.182,8390,44358,0.576,6568,1012,5414,1898,0.09,0.326,0.688,0.553,84191484,329.91200000000003,696.256,5478968,10275772,150
Purdue University North Central,Baccalaureate Colleges--Diverse Fields,0.16,6054,52792,0.451,3629,954,5106,973,0.07,0.278,0.61,0.429,51366616,265.21200000000005,581.9399999999999,4871124,4968138,151
